Station ,Latitude,Longitude
Gorbals,55.8464547,-4.248754
Glasgow City,55.8688692,-4.2598312
Glasgow Northwest,55.9088459,-4.3767137
Glasgow West,55.8704938,-4.3198066
Baillieston,55.850936,-4.1129636
Milngavie,55.9353708,-4.3188954
Bishopbriggs,55.9038705,-4.2285649
London Road,55.8491232,-4.2184993
Kirkintilloch,55.9356469,-4.1595654
Saracen,55.8835544,-4.2549676
Maryhill,55.8894868,-4.2898409
Easterhouse,55.8686786,-4.1212829
Shettleston,55.8519136,-4.1712753
Baird Street,55.8695152,-4.239095
Barrhead,55.7997291,-4.3927592
Giffnock,55.8062014,-4.2952711
Govan,55.8489768,-4.3215475
Pollokshaws,55.8216573,-4.3025435
Craigie Street,55.8363776,-4.2690412
Cathcart,55.8290293,-4.25032
Pollok,55.8270098,-4.3498723
Castlemilk,55.8046632,-4.2375263
