DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01009758,Darnley East - 01,5016,5912,4396,3273,5,5523,624,407,0.12,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8UG
S01009759,Darnley East - 02,171,32,168,255,48,791,860,570,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8SG
S01009760,Darnley East - 03,996,1102,971,881,27,2079,852,550,0.07,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8QE
S01009761,Darnley East - 04,3204,2887,3348,2782,7,5459,846,558,0.15,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8AD
S01009762,Darnley East - 05,1302,982,1946,1499,40,1904,1183,801,0.04,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8AS
S01009763,Darnley East - 06,5669,5235,5428,6391,4,6138,783,551,0.19,S12000049,Glasgow City,S16000119,Glasgow Pollok,G46 8UF
S01009764,Darnley North - 01,991,786,983.5,821,23,1930,688,476,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7GZ
S01009765,Darnley North - 02,2426,2090,2833,1432,13,4535,996,639,0.18,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7GR
S01009766,Darnley North - 03,4129,4994,4387,3244,14,2479,515,379,0.20,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7PA
S01009767,Darnley North - 04,2006,2546,2635,1183,82,443,1099,738,0.17,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7PT
S01009768,Darnley West - 01,1570,1515,1297,1604,13,3817,755,519,0.11,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7LP
S01009769,Darnley West - 02,4283,4168,5229,3061,26,3011,1152,732,0.16,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7YH
S01009770,Darnley West - 03,4352,4404,4267,3801,7,4995,664,478,0.12,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7UG
S01009771,Darnley West - 04,4553,3937,4696,3791,4,6219,846,613,0.17,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7YJ
S01009772,Darnley West - 05,4632,4644,4430,5055,4,6055,723,450,0.13,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7XT
S01009773,Darnley West - 06,4854,3915,5190,5456,NA,6608,730,499,0.20,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7ZF
S01009774,Darnley West - 07,4391,3667,4908,4942,3,6204,628,400,0.21,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7ZH
S01009775,Nitshill - 01,100,101,217,19,115,83,773,473,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G43 1BF
